"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Tennessee,Cheatham,Democrat,39105,129.3,1866
North Carolina,Rockingham,Democrat,93643,165.6,7464
Nebraska,Kearney,Democrat,6489,12.6,70
Kentucky,Bracken,Democrat,8488,41.3,675
Kentucky,Lincoln,Democrat,24742,74.1,1521
Texas,Rains,Democrat,10914,47.6,262
Nevada,Elko,Democrat,48818,2.8,86
Hawaii,Kauai,Democrat,67091,108.2,2656
South Carolina,Bamberg,Democrat,15987,40.6,1919
Georgia,Chattooga,Democrat,26015,83.0,868
Missouri,Wayne,Democrat,13521,17.8,657
Ohio,Trumbull,Democrat,210312,340.1,32629
Florida,Baker,Democrat,27115,46.3,1459
Wisconsin,Waukesha,Democrat,389891,709.4,51123
Nebraska,Brown,Democrat,3145,2.6,13
Georgia,Wilkes,Democrat,10593,22.6,843
Idaho,Oneida,Democrat,4286,3.6,11
Colorado,Lake,Democrat,7310,19.4,218
Tennessee,Roane,Democrat,54181,150.2,2370
Wisconsin,Columbia,Democrat,56833,74.2,10638
Indiana,Monroe,Democrat,137974,349.7,23229
Virginia,Chesterfield,Democrat,316236,747.1,34184
Washington,King,Democrat,1931249,912.9,9950
Florida,Clay,Democrat,190865,315.8,9043
Kentucky,Bath,Democrat,11591,41.6,1269
Utah,Summit,Democrat,36324,19.4,2396
Michigan,Lenawee,Democrat,99892,133.3,7711
Oregon,Deschutes,Democrat,157733,52.3,23137
Texas,Hamilton,Democrat,8517,10.2,202
Iowa,Adams,Democrat,4029,9.5,199
Nevada,Douglas,Democrat,46997,66.2,157
Texas,Stonewall,Democrat,1490,1.6,95
Louisiana,St. Mary,Democrat,54650,98.4,2530
Indiana,St. Joseph,Democrat,266931,583.0,32869
Mississippi,Kemper,Democrat,10456,13.6,1114
North Carolina,Montgomery,Democrat,27798,56.5,2251
North Carolina,Columbus,Democrat,58098,62.0,5630
Mississippi,Issaquena,Democrat,1406,3.4,195
South Carolina,Williamsburg,Democrat,34423,36.8,5166
Pennsylvania,Schuylkill,Democrat,148289,190.4,12573
Illinois,Whiteside,Democrat,58498,85.5,5997
Washington,Benton,Democrat,175177,103.0,492
South Dakota,Lincoln,Democrat,44828,77.7,2588
